"search_keyword_en","search_keyword_tc","image_url","author_en","author_tc","author_sc","author_url"
"Natural Amber","天然琥珀","","","","",""
"Nature Rough Yellow Agate","天然黃瑪瑙原石"
"10Amp Controller & Amplifier","調節器及擴大器"
"Simul Effect Processor","處理器"
"Shallow Rack","音響器材箱"
"Rack Case","儀器箱"
"Caster Kit for Rack Case","有輪儀器箱車架"
"12 Hole ATA Microphone Case","麥克風儀器箱"
"Case with Diced Foam for SKB/1713","泡棉式防護儀器箱"
"ATA Equipment Case","器材箱"
"Wheel Cart for Shock Rack","有輪儀器架"
"16U Shock Mount Rack","儀器箱"
"Full Range Loudspeaker with Tripod and U Bracket","揚聲器連架"
"Integrated Amplifier","擴大器"
"16 Input 6 Output Console","控制台"
"CD Player","播放器"
"Stereo Double Cassette Deck","卡式錄音機"
"2-Channel Graphic Equalizer","影像平衡器"
"Bose Room-mate II Monitor Loudspeaker","揚聲器"
"4-Channel Compressor/ Limiter","壓縮限幅器"
"Multiprocessor","多元處理器"
"Dual Channel Equalizers","雙頻平衡器"
"Active Direct Injection Box","音訊轉換器"
"24 Channel Mixer","混音器"
"Power Supply","供電器"
"Speaker Stand","揚聲器架"
"LED Display Board with Stainless Cabinet & Accessories","顯示板"
"Adjustable Wind Speed Floor Dryer","吹地風機"
"Portable Public Announcement System","手提廣播器"
"Electronic Whiteboard","電子白板"
"Cold Water High Pressure Mercury Cleaner","清潔氣汞器"
"6-Ton Axle Stand","6噸軸架"
"Motorized Screen 100""","電動屏幕"
"Digital Scale Weight","電子磅"
"Slide Projector","幻燈投影機"
"Workstation Photo Taking","輔助攝影工作器材"
"Coffee Machine","咖啡機"
"Binoculars","雙筒望遠鏡"
"Floor Dryer","吹風機"
"Floor Scrubbing and Polishing Machine","洗地抛光機"
"Mosquito Lamp","滅蚊燈"
"Table Tennis Table","乒乓球枱"
"Handheld Metal Detector","金屬探測器"
"Air Nail Gun","氣釘槍"
"Automatic Soap Dispenser","自動洗手液機"
"Hydraulic Trolley Jack","液壓手唧車"
"Hydraulic Jack","液壓千斤頂"
"Electric Mosquito Trap","電動滅蚊機"
"Cooking Stove","煮食爐"
"Portable Wireless Sound System with Dvd Player & 2 Handlheld Transmitter","便攜式播放器音響系統連二支咪"
"Portable Public Address Amplifier System with Wireless Handheld Microphone","無線擴音機連無線咪"
"Portable Public Address System and Player","便攜式擴音器系統連播放器"
"Micrometer","千分尺，0.25 毫米"
"Multimeter","萬用錶"
"Tester","絕緣電阻測試器"
"Barometer","氣壓計"
"Calibrator","流量計"
"Recorder","多功能記錄儀，垂直圖"
"Junction Box","電子訊號轉換儀"
"Meter","導電率表"
"Air Sampler Upgrade Kit","空氣採樣器升級套件"
"Sample Equilibration System","樣本除濕系统"
"Pole Pruner with Guide Bar and Saw Chain","電油長鏈鋸"
"Chain Saw 508mm","電鋸"
"Chain Saw 320mm","電鋸"
"Chain Saw 500mm","電鋸"
"Chain Saw 35mm","電鋸"
"Chain Saw 355mm","電鋸"
"Chain Saw 330mm","電鋸"
"Chain Saw 450mm","電鋸"
"Chain Saw 16""","電鋸"
"Chain Saw 50cm","電鋸"
"Chain Saw 300mm","電鋸"
"Chain Saw 400mm","電鋸"
"Lifepak CR Plus Semiautomatic Defibrillator","心肺復甦機"
"Twin Warm Stove Activity Cabinet","雙頭保溫爐連底座活動櫃"
"Cabinet","電蒸氣廚櫃"
"Electric Stainless Steel Steamer","不銹鋼電蒸櫃"
"Beverage Cooler","飲品櫃"
"Drinking Water Dispenser","飲水機"
"Ice Maker","冰粒機"
"Industrial Refrigerator","工業用雪櫃"
"Commercial Electric Stainless Steel Soup Warmer","商用不銹鋼電湯鍋"
"Commercial Electric Stainless Steel Oven","商用不銹鋼電烤箱"
"Film Cassette","膠卷盒"
"Camera Back Plate for 36 Film Exposure","相機背板"
"Film Scanning System","膠片掃瞄系統"
"Digital Duplicator","數位印刷機"
"GPS Antenna","全球定位天線"
"Screen Protector","螢幕保護盒"
"Lifepak Defibrillator","心臟顫動器"
"Video Camera Recorder","攝錄機"
"Digital Video Camera Recorder","數碼攝錄機"
"Drawing Table","繪圖枱"
"Blue Tooth Pocket PC","藍牙掌上電腦"
"Label Printer","標籤打印機"
"Binoculars","望遠鏡"
"Instant Camera","即影即有相機"
"Digital Camcorder","數碼攝錄機"
"Digital Video Camera","數碼攝錄相機"
"Digital Camera with Accessories","數碼相機連配件"
"Auto Puncher","重型打孔機"
"Paper Trimmer","裁紙器"
"Shredder","碎紙機"
"Enlarger for 35mm work","放大器"
"Film Dry Cabinet","膠片乾燥櫃"
"Flash","閃光燈"
"Paper Trimmer","剪紙機"
"Enlarger","放大器"
"Timer","計時器"
"Vacuum Contact Frame","真空接觸架"
"64M Compact Flash Card","記憶咭"
"Beacon Receiver for Handheld GPS","差分信標接收器"
"Handheld GPS","手持衛星導航儀"
"Audio Mixer","混音器"
"Quad Unit","四路視頻四處理器分配器"
"Video Recorder","錄像機"
"Lens","自動光圈鏡頭"
"Microphone","麥克風"
"Equipment Cabinet","設備櫃"
"1/2"" Colour Video Camera","彩色攝像機"
"Control Unit","中央控制器"
"System Controller","錄像機系統控制器"
"Outboard Engine","舷外發動機"
"Digital Camera","數碼相機連套"
"Ladder","6.5米鋁合金二樓梯"
"Ladder","5米鋁合金雙扯梯"
"Fast Real-Time Polymerase Chain Reaction System","聚合酶鏈式反應檢測儀"
"Smart Cycler","智能循環儀"
"Automic Cryotome","冷凍切片機"
"Autostainer","自動染色機"
"Tissue Processor","組織處理器"
"Shandon Cryotome Cryostat","冷凍切片機"
"Ultra-wideangle Lens","相機鏡頭"
"Night Vision Owl Binoculars","夜視鏡"
"Hammer Drill","電鑽"
"Underwater Housing","防水相機殼"
"Global Positioning System Plotter Sounder","船用導航儀"
"Electric Cutting Machine","電動砌割機"
"Flying and Aerial Photography Device","航拍機"
"Diving Watch","潛水手錶"
"Underwater Monitor System with 50m Cable","水下監控系統"
"Memory Stick 128MB","記憶咭"
"Digital Video Camera Recorder","攝錄機"
"Aluminium Name Plates","鋁製名牌"
"Thermal Pot","電熱水瓶"
"Electric Steamer","電蒸爐"
"Electric Drilling Machine","電動鑽孔機"
"Paper Shredder","碎紙機"
"Aluminium Name Plate","鋁製名牌連架"
"4-drawer Steel Filing Cabinet","四桶鋼文件櫃"
"Steel Movable TV Trolley","有轆電視鋼架"
"Flash Light","閃光燈"
"Digital Camera - Body Only","數碼相機機身"
"Deioniser","去除離子機"
"Electronic Balance","電子磅"
"Treadmill","跑步機"
"Stainless Steel Easels Art","不銹鋼畫架"
"Rotary Trimmer","輪轉式切紙刀"
"Young's Modulus Apparatus","楊氏模量計"
"Resistance Box","電阻箱"
"Inclined Plane","斜面"
"Potentiometer","電阻電位計"
"Magdeburg Hemisphere","馬格德堡半球"
"Van de Graaff Generator","范德格拉夫發電機"
"Labpack Radford","拉德福德實驗箱"
"Stopclock","計時器"
"Oscilloscope","示波器"
"Finishing Sander Attachment","砂光機附件"
"DVD Player","光碟播放機"
"Headphone Amplifier","耳機擴音器"
"4 in 4 out Video and Audio Mixer","4輸入4輸出混合器"
"Book Trolley","單面活動圖書車"
"Folding Table with wheels","上揭式推轆摺檯"
"Paper Shredding Machine","碎紙機"
"Plasma Sterilizer","等離子殺菌器"
"Nasometer","鼻腔測量計"
"Public Address Amplifier","擴音機"
"8-channel Mixer Pre-amplifier","前置擴音機"
"Double Cassette Deck","卡式錄音機"
"Digital Visual Presenter","實物投影機"
"Air Cleaner","空氣清新機"
"Trolley for Stackable Chair","可疊式靠背椅運送車"
"Overhead Projector","投影機"
"Sound Bloster","揚聲器"
"Microphone Floor Stand","麥克風三腳架"
"Microphone Stand","麥克風座檯架"
"Box Type Keyboard Drawer","盒型鍵盤抽屜"
"Computer Case","電腦機箱"
"Electric Pencil Sharpener","電動鉛筆刨"
"Electric Stapler","電動釘書機"
"Walkie Talkie with Battery & Charger","對講機連電池及充電器"
"Print Server","列印伺服器"
"80GB Portable Hard Disk","便擕式硬碟機"
"500GB Portable Hard Disk","便擕式硬碟機"
"Personal Response System","個人應答系統"
"Bluetooth Keyboard","藍牙鍵盤"
"Air Purifier","空氣淨化機"
"Pop-up Exhiibition Stand with 2 Spotlights","拉網架連射燈2支"
"Digital Video Camcorder","數碼攝像機"
"Battery Charger for M-Series Battery","電池充電器"
"Color LaserJet Printer","彩色鐳射打印機"
"Blade Server","刀鋒伺服器"
"Cordless Stereo Headphone","無線耳機"
"MP3 Player","MP3播放器"
"Electronic Calculator","電子計算機"
"Hole Punch","打孔機"
"Heavy Duty Stapler","重型釘書機"
"Cardiopulmonary Resuscitation Manometer","心肺復甦法壓力計"
"Automated External Defibrillator Training System","自動體外心臟除顫器訓練機"
"Semi-Automatic Defibrillator","半自動除顫器"
"Automatic Defribrillator with External Accessories","除顫器外部附件"
"Semi-Rigid Carrying Case","半硬質手提箱"
"Sphygmomanometer with Blue Cuff & Zippered Case","血壓計連藍色袖和拉鍊套"
"Wrist Blood Pressure Monitor","手腕血壓計"
"Microscope","立體顯微鏡"
"Microscope","顯微鏡"
"Magnetic Stirrer","磁力攪拌器"
"Microscope","單目顯微鏡"
"Data Logging System","數據記錄系統"
"PasPort Bundle including Datalogger and Sensor","提存器組件"
"Air Purifier","空氣淨化器"
"Triple Beam Balance","三標尺秤"
"Van De Graff Generator","范德格拉夫發電機"
"Bicycle Dynamo Assembly","單車類型發電機組裝"
"Accessories for Van De Graff Generator","范德格拉夫發電機的配件"
"Electrometer and DC Amplifier","靜電計和直流放大器"
"Rotary Vacuum Pump","旋轉式真空泵"
"Ripple Tank & Accessories","水波槽及配件"
"Data Logger Physics Bundle 750","數據記錄儀器物理組合"
"Acceleration Sensor","加速傳感器"
"Charge Sensor","電荷傳感器"
"Force Sensor","力傳感器"
"Magnetic Field Sensor","磁場傳感器"
"Rotary Motion Sensor","旋轉運動傳感器"
"Photogate / Pulley System","光電門/滑輪系統"
"Super Pulley Force Table","超級滑輪力桌子"
"Rotating Platform","旋轉平台"
"Centripetal Force Kit","向心力套件"
"Rotational Accessory","旋轉配件"
"Infrared Sensor","紅外線傳感器"
"Bench Power Supply","檯上供電器"
"Motion Sensor","運動傳感器"
"Temperature Sensor","溫度感應器"
"High Pressure Cleaner","高壓水槍"
"Reel Scoreboard","有轆記分牌"
"Volleyball Post","排球柱"
"Safety Pad Trolley","安全墊車"
"CCTV Lens","防盜系統鏡頭"
"Floor Dryer","吹地機"
"Stainless Steel Signboard Railing Stand","不銹鋼告示座"
"Balance Cap. 300g","天平"
"Multimeter","萬用表"
"Interscale Demonstration Meter","跨度示範儀表"
"Low Tension Variable Voltage Supply","低壓"
"Spark Counter","火花計數器"
"Linear Air Track","線性空氣軌道"
"Galvanometer","檢流計"
"Flat Solenoid","扁平螺絲管"
"Storage Cupboard For Radioactive Source","放射源儲藏櫃"
"Spring Balance","彈簧秤"
"Sodium Lamp","鈉燈"
"Variable Low Voltage Power Supply","可變低壓電源"
"Trolley","小動態車"
"Digital Multimeter","數碼萬用表"
"Regulated Power Supply Duel 15V","雙15V穩壓電源"
"Electric Blower","電動鼓風機"
"Speed of Sound Kit","音速套件"
"Compact Light Source 100W","緊湊型光源"
"Photo-Timing Gate","光定時門"
"Electrometer","靜電計"
"Thomas Electro Magnetic Tube","湯姆森電磁管"
"Maltese Cross Tube","馬耳他十字管"
"Planar Diode","平面二極管"
"Spectometer","光譜儀"
"Perrin Tube","佩蘭管"
"Vernier Microscope","游標顯微鏡"
"Cathode Ray Deflection Tube","陰極射線偏轉管"
"Dial-0-Gram Balance 310g in 0.01g","天平"
"Triple Beam Balance","天平"
"Overhead Projector","高影機"
"Compact Light Source","緊湊型光源"
"Hard Disk Handycam","攝錄機"
"Camera","相機連咭"
"Video Camera","攝像機"
"Cassette Recorder","卡式隨身聽"
"Video Cassette Recorder","錄影機"
"Integrated Circuit Recorder","錄音筆"
"DVD Recorder","光碟錄影機"
"Digital Media Camera","攝錄機"
"USB Port Smart Card Reader","讀取器"
"Foot Pump","氣泵"
"Electronic Typewriter","電子打字機"
"A3 Laminator","過膠機"
"56K Modem PC Card","56K網卡"
"Barcode Scanner","條碼掃描器"
"Barcode Scanner Stand","條碼掃描器底座"
"Standing Desk","人體工學桌"
"Laser Handheld Terminal","條碼掃描器"
"Roller Shutter Filing Steel Cabinet","捲門鋼櫃"
"Anti Mosquito Lamp","滅蚊燈"
"Electrical Typewriter","電動打字機"
"CD & Cassette Player","光碟卡式播放機"
"Cassette Player","卡式播放機"
"CD/Cassette Recorder","光碟/卡式錄音機"
"Walkman","隨身聽"
"Audio Splitter for Headset","音頻分裂機"
"Headset with Microphone","耳機連麥克風"
"Cassette Deck","卡式磁帶機"
"Amplifier","擴音機"
"AV Selector","選頻器"
"Ceiling of Speaker","天花揚聲器"
"Mini DV Camcorder","迷你數碼影視錄像機"
"Digital Light Processing","數位投影機"
"Jig Saw Attachment","曲線鋸附件"
"Drill Stand","鑽架"
"Circular Saw Attachment","圓鋸附件"
"Power Supply Unit","高壓電源箱"
"Signal Generator & Amplifier","信號發生器及放大器"
"Microscope Linear Vernier","顯微鏡線性遊標尺"
"Power Supply Unit","電源箱"
"Digital Wireless Projector","無線投影機"
"Color Charge-coupled Device Camera","彩色電荷耦合器件攝像機"
"Video Camera Adaptor","攝像機適配器"
"Alka Ionizer","電解水生成器"
"Air Walk Trainer","太空漫遊機"
"Vibration Pad","振動墊"
"Electric Air Pump","電泵"
"Table Tennis Table","乒乓球檯"
"Match Timer","計時打印器"
"Steel Equipment Cabinet","鋼櫃"
"Scanner Rack","掃描器架"
"Liquid-crystal display","液晶投影機"
"DVD Recorder","光碟燒錄機"
"Color VisionSpyder3 Studio","顏色檢測儀"
"Camcorder Ballhead","攝錄機雲台"
"Main Unit for Wired Conference System","有線會議系統"
"Chairman Microphone Unit","主席麥克風"
"Delegate Microphone Unit","副麥克風"
"Movable Case Cabinet for Taiden Conference System","可移動會議系統櫃"
"High-Definition Multimedia Interface","高畫質多媒體介面轉換器"
"High-Definition Multimedia Interface","高畫質多媒體介面分解器"
"Video Graphics Array","視頻圖形陣列分離器"
"Cantonese Color Detector","粵語色彩檢測儀"
"600 x 600mm Cabinet with 1 Fixed Shelf","音響櫃"
"DVD Duplicator","光碟燒錄機"
"3.5"" 2TB External Hard Disk Studio Edition II","外置硬碟機"
"Micro MD HiFi System","微型光碟音響組合"
"3.3M Pro Cyber Shot","數碼相機"
"Stand for Electronic Whiteboard","電子白板架"
"Portable Amplifier","流動擴音機"
"HandyCam","數碼攝錄機"
"Digital Single-lens Reflex Camera","數碼單鏡反光相機"
"Digital Camera Lens","數碼相機鏡頭"
"36"" x 42"" Trolley","雙層手推車"
"Hard Disk Camcorder","手提攝錄機"
"Visual Presenter","實物投影機"
"Electronic Auto Dry Box","電子防潮櫃"
"4-bay SATA","儲存裝置"
"Heavy Duty Punch","重型打孔機"
"Solid-state Drive","固態硬碟機"
"Labelling Machine","標籤機"
"USB3.0 External Drive","外置硬碟機"
"A4 Thermal Binding Machine","熱能裝釘機"
"Double Sided Braille Embosser","點字壓紋機"
"Braille Display with Cursor Routing and USB Connector","點字顯示器"
"Integrated Circult","錄音筆"
"Harddisk","硬碟機"
"2TB 3.5"" SATA 6GB/s 7200RPM 64M Harddisk","硬碟機"
"3TB 3.5"" SATA 6GB/s 7200RPM 64M Harddisk","硬碟機"
"Display Calibration Tool","顯示器校準工具"
"High Grade Wide Lens Handycam","手提高質廣角鏡頭攝錄機"
"iPod Touch 32GB","便攜式多功能數碼多媒體播放器"
"Co2 Gas Sensor for Data Logger","數據記錄儀用二氧化碳感應器"
"RangeMax","雙頻無線吉位元乙太網路路由器"
"Badge Maker","襟章機"
"Starter Pack for Data Logger","數據記錄儀入門包"
"Data Logger","數據記錄儀"
,
"Force Sensor for Data Logger","數據記錄儀用力量感應器"
"Soil Moisture for Data Logger","數據記錄儀用土壤濕度感應器"
"Sound Level Sensor for Data Logger","數據記錄儀用聲音感應器"
"Turbidity Sensor for Data Logger","數據記錄儀用濁度感應器"
"Accelevation Sensor for Data Logger","數據記錄儀用加速度感應器"
"Colorimeter Sensor for Data Logger","數據記錄儀用色度計"
"Oxygen/Dissolved Oxygen Adapter for Data Logger","數據記錄儀用氧氣適配器組件"
"2TB Hard Disk","硬碟機"
"Video Magnifier","影像放大器"
"Subwoofer Amplifier","超重低音擴音器"
"Cantonese Talking Measure Tape","粵語發聲拉尺"
"Dual Boot Mini TV Box","雙系統媒體播放器盒子"
"Thunderbolt Express Dock","「雷電」連接器標準連接線用分插器"
"Braille Display","點字刻印機"
"Standmaster","直立式支架"
"Router","路由器"
"12-Channel Audio Mixer","混音器"
"Power Amplifier","功率放大器"
"Ceiling Mount Bracket for JBL Speakers","揚聲器天花板支架"
"Wireless Microphone Receiver","無線麥克風接收器"
"Handheld Microphone","手提麥克風"
"Dual-channel Receiver Frame","無線接收器"
"Tuner Module","無線接收器組件"
"Wireless tie-clip Microphone","無線夾式麥克風"
"Double Cassette Deck","雙磁帶卡式錄音機"
"DVD/VCD/CD Player","光碟播放機"
"Digital Organ with 2 Speakers","管風琴連2個揚聲器"
"Distance Measuring Tool","距離量度儀器"
"Telephone Answering Machine","電話答錄機"
"Telephone","無線電話"
"Camera","數碼相機"
"High Pressure Cleaner","高壓清洗機"
"Cold Water High Pressure Cleaner","冷水高壓清洗機"
"Fiberglass Twin Step Ladder 6""","梯具"
"Stainless Ladder","梯具"
"Fiberglass Twin Step Ladder 4""","梯具"
"Electric Welding Machine","焊機"
"Hydraulic Jack","千斤頂"
"Portable Generator","攜帶式變流器發電機"
"Dipmeter","測水位機"
"Inclinometer","測斜儀"
"Tiltmeter Sensor","傾斜儀"
"Wooden Tripod","木腳架"
"Prism Set Triple Adaptor","三頭稜鏡板"
"Prism","稜鏡"
"Theodolite Adaptor","全站儀接駁頭"
"Tribach with Optical Plummet","測量三角底座"
"Tribach Adaptor","底座接合頭"
"Mini Prism Set","套裝小型稜鏡"
"Prism Holder","棱鏡支托物"
"Single Prism Holder","單棱鏡支托物"
"Twin Prism Holder","雙棱鏡支托物"
"Prism Pole","反射頭桿"
"Ranging Pole","標桿"
"Lighting Device for Leveling Staff","望尺燈"
"Survey Traffic Sign","測量標示路牌"
"Prismatic Compass","指南針"
"Thermometer in Metal Case","溫度計連金屬外殼"
"Aluminum Tripod","鋁腳架"
"Extended Pole","延長桿"
"Bar Code Staff","條碼望尺"
"Staff","望尺"
"Stand for Staff","望尺座"
"Extended Pole for Prism","反射頭延長桿"
"Tripod for Reflector Pole","反射頭桿腳架"
"Hedge Shear","樹剪"
"Axe","斧頭"
"Shovel","鐵鏟"
"Machete","開山刀"
"Hoe","鋤頭"
"Measuring Tape","捲尺"
"Steel Tape","鋼尺"
"Digitilt Indicator","自動讀數儀"
"Inclinometer","測斜機"
"Battery Charger","充電機"
"Charger Adapter","充電插頭"
"Battery Box","電池盒"
"Expired Toner Cartridge","過期碳粉匣"
"Expired Imaging Drum","過期感光鼓"
"Expired Roller Kit","過期滾輪套件"
"Expired Transfer Kit","過期轉印套件"
"HP CB380A","空碳粉匣"
"HP CB381A","空碳粉匣"
"HP CB382A","空碳粉匣"
